Highway,Direction,County,Travel Time,Speed,Total Volume,Truck Volume,Truck %,Miles,Start Time,End Time,Year
I-5,NB,"Portland, OR",37.87,42.14,"4,318.73",385.16,8.90%,26.595,16:00,17:00,2045
I-5,NB,"Portland, OR",37.19,42.91,"4,290.20",289.49,6.70%,26.595,17:00,18:00,2045
I-5,NB,"Portland, OR",34.95,45.66,"4,002.82",140.44,3.50%,26.595,18:00,19:00,2045
I-5,NB,"Portland, OR",32.11,49.69,"3,353.96",140.41,4.20%,26.595,19:00,20:00,2045
I-5,NB,"Portland, OR",30.88,51.67,"2,814.43",214.29,7.60%,26.595,20:00,21:00,2045
I-5,NB,"Portland, OR",30.05,53.1,"2,267.58",227.05,10.00%,26.595,21:00,22:00,2045
I-5,NB,"Portland, OR",29.49,54.11,"1,738.34",184.85,10.60%,26.595,22:00,23:00,2045
I-5,NB,"Portland, OR",29.13,54.78,"1,302.03",202.25,15.50%,26.595,23:00,0:00,2045
I-205,SB,"Portland, OR",26.35,56.88,597.99,76.57,12.80%,24.979,0:00,1:00,2045
I-205,SB,"Portland, OR",26.32,56.94,545.86,78.42,14.40%,24.979,1:00,2:00,2045
I-205,SB,"Portland, OR",26.31,56.96,504.17,84.29,16.70%,24.979,2:00,3:00,2045
I-205,SB,"Portland, OR",26.29,57.01,487.85,98.81,20.30%,24.979,3:00,4:00,2045
I-205,SB,"Portland, OR",26.64,56.26,"1,128.02",155.79,13.80%,24.979,4:00,5:00,2045
I-205,SB,"Portland, OR",27.54,54.42,"2,311.24",146.61,6.30%,24.979,5:00,6:00,2045
I-205,SB,"Portland, OR",28.49,52.61,"3,073.66",200.25,6.50%,24.979,6:00,7:00,2045
I-205,SB,"Portland, OR",29.82,50.26,"3,642.73",277.67,7.60%,24.979,7:00,8:00,2045
I-205,SB,"Portland, OR",29.76,50.36,"3,540.82",399.87,11.30%,24.979,8:00,9:00,2045
I-205,SB,"Portland, OR",30.42,49.27,"3,670.37",503.94,13.70%,24.979,9:00,10:00,2045
I-205,SB,"Portland, OR",29.51,50.79,"3,354.01",498.02,14.80%,24.979,10:00,11:00,2045
I-205,SB,"Portland, OR",29.33,51.1,"3,309.99",425.3,12.80%,24.979,11:00,12:00,2045
I-205,SB,"Portland, OR",30.21,49.61,"3,602.20",487.49,13.50%,24.979,12:00,13:00,2045
I-205,SB,"Portland, OR",30.8,48.66,"3,738.94",501.2,13.40%,24.979,13:00,14:00,2045
I-205,SB,"Portland, OR",30.44,49.24,"3,689.84",394.86,10.70%,24.979,14:00,15:00,2045
I-205,SB,"Portland, OR",30.77,48.71,"3,790.64",237.32,6.30%,24.979,15:00,16:00,2045
I-205,SB,"Portland, OR",30.21,49.61,"3,598.12",132.49,3.70%,24.979,16:00,17:00,2045
I-205,SB,"Portland, OR",29.85,50.21,"3,499.91",87.35,2.50%,24.979,17:00,18:00,2045
I-205,SB,"Portland, OR",29.92,50.09,"3,581.63",88.69,2.50%,24.979,18:00,19:00,2045
I-205,SB,"Portland, OR",28.71,52.2,"3,059.30",87.99,2.90%,24.979,19:00,20:00,2045
I-205,SB,"Portland, OR",27.51,54.48,"2,271.96",61.78,2.70%,24.979,20:00,21:00,2045
I-205,SB,"Portland, OR",27.37,54.76,"2,084.87",69.86,3.40%,24.979,21:00,22:00,2045
I-205,SB,"Portland, OR",26.84,55.84,"1,473.66",59.48,4.00%,24.979,22:00,23:00,2045
I-205,SB,"Portland, OR",26.65,56.24,"1,126.40",57.75,5.10%,24.979,23:00,0:00,2045
I-205,NB,"Portland, OR",25.95,56.93,496.87,72.39,14.60%,24.623,0:00,1:00,2045
I-205,NB,"Portland, OR",25.92,57,398.44,64.42,16.20%,24.623,1:00,2:00,2045
I-205,NB,"Portland, OR",25.91,57.02,386.36,80.71,20.90%,24.623,2:00,3:00,2045
I-205,NB,"Portland, OR",26,56.82,536.18,107.48,20.00%,24.623,3:00,4:00,2045
I-205,NB,"Portland, OR",26.46,55.83,"1,391.33",152.53,11.00%,24.623,4:00,5:00,2045
I-205,NB,"Portland, OR",31.76,46.52,"3,794.32",210.05,5.50%,24.623,5:00,6:00,2045
I-205,NB,"Portland, OR",31.87,46.36,"3,825.57",263.16,6.90%,24.623,6:00,7:00,2045
I-205,NB,"Portland, OR",35.38,41.76,"4,335.71",388.84,9.00%,24.623,7:00,8:00,2045
I-205,NB,"Portland, OR",33.64,43.92,"4,116.26",435.96,10.60%,24.623,8:00,9:00,2045
I-205,NB,"Portland, OR",31.95,46.24,"3,901.77",519.37,13.30%,24.623,9:00,10:00,2045
I-205,NB,"Portland, OR",29.62,49.88,"3,483.45",470.99,13.50%,24.623,10:00,11:00,2045
I-205,NB,"Portland, OR",32.1,46.02,"3,983.36",519.28,13.00%,24.623,11:00,12:00,2045
I-205,NB,"Portland, OR",29.57,49.96,"3,500.07",476.05,13.60%,24.623,12:00,13:00,2045
I-205,NB,"Portland, OR",29.57,49.96,"3,484.93",458.21,13.10%,24.623,13:00,14:00,2045
I-205,NB,"Portland, OR",29.49,50.1,"3,548.52",396.77,11.20%,24.623,14:00,15:00,2045
I-205,NB,"Portland, OR",29.49,50.1,"3,587.20",312.32,8.70%,24.623,15:00,16:00,2045
I-205,NB,"Portland, OR",28.95,51.03,"3,393.11",148.45,4.40%,24.623,16:00,17:00,2045
I-205,NB,"Portland, OR",28.79,51.32,"3,378.21",101.14,3.00%,24.623,17:00,18:00,2045
I-205,NB,"Portland, OR",28.75,51.39,"3,346.48",114.26,3.40%,24.623,18:00,19:00,2045
I-205,NB,"Portland, OR",27.39,53.94,"2,508.06",105.7,4.20%,24.623,19:00,20:00,2045
I-205,NB,"Portland, OR",26.6,55.54,"1,758.73",62.58,3.60%,24.623,20:00,21:00,2045
I-205,NB,"Portland, OR",26.49,55.77,"1,560.03",70.3,4.50%,24.623,21:00,22:00,2045
I-205,NB,"Portland, OR",26.29,56.2,"1,157.11",53.74,4.60%,24.623,22:00,23:00,2045
I-205,NB,"Portland, OR",26.14,56.52,875.82,65.71,7.50%,24.623,23:00,0:00,2045
