OBJECTID_1 *,Shape *,StateStructureId,BridgeNumber,BridgeName,FacilitiesCarried,FeaturesIntersected,Owner,Custodian,CityName,CountyName,RegionName,Latitude,Longitude,ParallelStructure,HistoricSignificanceNRHP,HistoricalSignificanceHAER,HistoricSignificanceLocal,YearBuilt,YearRebuilt,StructureLengthByFeet,MaximumSpanLengthFeet,ScreeningLengthBy10th,LanesOn,CurbToCurbWidthFeetAnd10th,OutToOutWidthFeetAnd10th,SidewalkCurbWidthLeftBy10th,SidewalkCurbWidthRightBy10th,MinVertClrncOverDeck,MinVertClrncUnderBridge,MainSpanDesign,MainSpanMaterial,ApproachSpanDesign,ApproachSpanMaterial,SpanType,NumberOfSpans,ServiceOn,ServiceUnder,DesignLoadCode,OpenClosedPosted,OnUnderCode,FederalHighwayClass,ServiceLevel,RouteIdentifier,StateRouteMilepost,AheadBackIndicator,InventoryDirection,Detour,BaseHighwayNetwork,NationalTruckNetwork,STRAHNET,FederalLandsHighway,DeckCondition,SuperstructureCondition,SubstructureCondition,BridgeOverallConditionState,CulvertCondition,ScourCondition,NumberOfUtilites,InspectionFrequency,InspectionDate,InspectionDueDate,PrpsedImprvTypeOfWork,PrpsedImprvWorkMethod,PrpsedImprvStructureLgthByFT,PrpsedImprvRoadwayWdthByFT,PrpsedImprvCostPerSFDeck,PrpsedImprvStructureCost,PrpsedImprvRoadwayCost,PrpsedImprvEngMiscCost,PrpsedImprvTotalCost,PrpsedImprvEstimateYear,TunnelPortalShape,TunnelShape,TunnelLengthByFeet,TunnelGroundConditions,TunnelNumberOfBores,TunnelServiceLevel,TunnelOtherRestriction,TunnelHazardousMatRest,TunnelHeightRestrictionFlag,TunnelMinVertClrncOverRdBy10,TunnelComplexCode,updated_date,Structure ID,ObjectID,Min Need Year
1,Point,000000BA,125/31.25,BROWN RD CREEK,SR 125,BROWN ROAD CREEK,Washington State,Washington State,UNINCORPORATED,Walla Walla County,SC,46.235527,-118.37114,N,5,<Null>,<Null>,1900,0,16,14,<Null>,2,31,31.5,0,0,9999,0,2,1,0,0,CESB CS,1,1,5,0,A,1,3,1,125,18.97,<Null>,B,9,0,N,0,0,7,6,6,Fair,9,3,1,<Null>,<Null>,<Null>,35,1,16,33,475,126,25,100,251,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000BA,618,2024
2,Point,000000BE,142/13.25,SPRING CREEK,SR 142,SPRING CREEK,Washington State,Washington State,UNINCORPORATED,Klickitat County,SW,45.830139,-120.905609,N,5,<Null>,<Null>,1950,0,22,20,19,2,23.5,24,0,0,9999,0,2,3,0,0,SRB,1,1,5,0,A,1,3,1,142,29.92,<Null>,B,6,0,N,0,0,5,7,5,Fair,9,3,0,<Null>,<Null>,<Null>,35,1,22,28,475,146,29,117,293,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000BE,286,2024
3,Point,000000BG,161/3,OHOP CREEK,SR 161,OHOP CREEK,Washington State,Washington State,EATONVILLE,Pierce County,OL,46.876419,-122.281746,N,5,<Null>,<Null>,1900,0,56,45,51,2,30,32,0,0,9999,0,4,2,0,0,CTB,1,1,5,2,A,1,3,1,161,4.27,<Null>,B,3,1,Y,0,0,6,7,6,Fair,9,3,2,24,9/30/2021,9/30/2023,35,1,56,33,400,370,74,296,739,2014,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000BG,682,2024
4,Point,000000BI,195/24,S FK PALOUSE R CT HOUSE,US 195,S FK PALOUSE RIVER,Washington State,Washington State,COLFAX,Whitman County,EA,46.883999,-117.364532,N,5,<Null>,<Null>,1923,0,228,114,99.9,4,56,80,10,10,9999,0,4,2,0,0,CTB,2,5,5,0,A,1,2,1,195,38.09,<Null>,B,8,1,Y,0,0,6,4,6,Poor,9,8,0,24,7/19/2022,7/19/2024,35,1,228,58,475,3140,628,2512,6281,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000BI,50,2024
5,Point,000000BK,203/12,CREEK,SR 203,CREEK,Washington State,Washington State,UNINCORPORATED,King County,NW,47.606335,-121.913918,N,5,<Null>,<Null>,1945,0,52,16,47,2,30,30.4,0,0,9999,0,2,7,0,0,TTC,3,1,5,0,A,1,3,1,203,3,<Null>,B,12,1,Y,0,0,6,7,6,Fair,9,U,0,24,7/18/2023,7/18/2025,35,1,52,34,475,420,84,336,840,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000BK,848,2024
6,Point,000000BL,203/20,HARRIS CREEK,SR 203,HARRIS CREEK,Washington State,Washington State,UNINCORPORATED,King County,NW,47.678055,-121.907333,N,5,<Null>,<Null>,1945,0,58,20,53,2,29.7,30.2,0,0,9999,0,2,7,0,0,TTC,3,1,5,0,A,1,3,1,203,8.12,<Null>,B,13,1,Y,0,0,7,6,7,Fair,9,U,1,24,7/18/2023,7/18/2025,35,1,58,30,475,413,83,330,826,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000BL,850,2024
7,Point,000000CN,508/14,KEARNEY CREEK,SR 508,KEARNEY CREEK,Washington State,Washington State,UNINCORPORATED,Lewis County,SW,46.610634,-122.581718,N,5,<Null>,<Null>,1937,0,32,16,30.8,2,21.6,22.6,0,0,9999,0,2,7,0,0,TTC,2,1,5,0,A,1,3,1,508,15.97,<Null>,B,14,0,N,0,0,7,7,6,Fair,9,U,0,24,3/2/2023,3/2/2025,35,1,32,29,475,220,44,176,441,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000CN,1316,2024
8,Point,000000CO,508/16,MILL CREEK,SR 508,MILL CREEK,Washington State,Washington State,UNINCORPORATED,Lewis County,SW,46.604591,-122.534195,N,5,<Null>,<Null>,1937,0,32,16,31.5,2,21.7,21.7,0,0,9999,0,2,7,0,0,TTC,2,1,5,0,A,1,3,1,508,18.32,<Null>,B,35,0,N,0,0,6,7,6,Fair,9,U,0,24,3/1/2023,3/1/2025,35,1,32,26,475,198,40,158,395,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000CO,1317,2024
9,Point,000000CQ,508/23,ALDER CREEK,SR 508,ALDER CREEK,Washington State,Washington State,UNINCORPORATED,Lewis County,SW,46.604279,-122.45108,N,5,<Null>,<Null>,1937,0,88,29,83,2,19.6,21,0,0,9999,0,2,7,0,0,TTC,3,1,5,0,A,1,3,1,508,22.65,<Null>,B,35,0,N,0,0,6,6,5,Fair,9,3,1,24,2/17/2022,2/17/2024,35,1,88,23,475,480,96,384,961,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000CQ,1320,2024
10,Point,000000CR,508/26.25,CREEK,SR 508,CREEK,Washington State,Washington State,UNINCORPORATED,Lewis County,SW,46.588306,-122.425552,N,5,<Null>,<Null>,1941,0,20,18,17.9,2,20.3,21.5,0,0,9999,0,2,7,0,0,TTC,1,1,5,0,A,1,3,1,508,24.36,<Null>,B,35,0,N,0,0,7,6,6,Fair,9,3,0,<Null>,<Null>,<Null>,35,1,20,29,400,116,23,93,232,2014,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000CR,1321,2024
11,Point,000000CY,706/3.25,RELIEF CROSSING,SR 706,RELIEF CHANNEL,Washington State,Washington State,UNINCORPORATED,Pierce County,OL,46.757351,-122.139664,N,5,<Null>,<Null>,1900,1961,12,10,<Null>,2,33.3,33.5,0,0,9999,0,1,1,0,0,CS,1,1,5,0,A,1,3,1,706,2.55,<Null>,B,89,1,Y,0,0,7,8,7,Good,9,8,0,<Null>,<Null>,<Null>,35,1,12,36,475,102,20,82,205,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000CY,1439,2024
12,Point,000000CZ,706/10.25,TENAS CREEK,SR 706,TENAS CR,Washington State,Washington State,UNINCORPORATED,Pierce County,OL,46.747101,-121.924828,N,5,<Null>,<Null>,1900,0,22,18,18,2,23.8,26.4,0,0,9999,0,4,1,0,0,CTB,1,1,5,0,A,1,3,1,706,13.09,<Null>,B,27,1,Y,0,0,7,6,6,Fair,9,5,1,<Null>,<Null>,<Null>,35,1,22,28,475,146,29,117,293,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000CZ,1438,2024
13,Point,000000DA,821/105.25,BURBANK CREEK,SR 821,BURBANK CR,Washington State,Washington State,UNINCORPORATED,Kittitas County,SC,46.768497,-120.448997,N,5,<Null>,<Null>,1923,1948,18,16,<Null>,2,40.3,54,0,0,9999,0,1,1,0,0,CS,1,1,5,0,A,1,3,1,821,7.65,<Null>,B,52,0,N,0,0,7,7,6,Fair,9,U,0,<Null>,<Null>,<Null>,35,1,18,32,475,137,27,110,274,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000DA,1475,2024
14,Point,000000DX, 12/702.25,IRRIGATION DITCH,US 12,IRRIGATION DITCH,Washington State,Washington State,UNINCORPORATED,Columbia County,SC,46.286667,-118.106003,N,5,<Null>,<Null>,1900,1926,21,19,19,2,31,33,0,0,9999,0,1,1,0,0,CS,1,1,5,0,A,1,2,1,12,360.28,<Null>,B,9,1,Y,0,0,7,6,7,Fair,9,5,0,<Null>,<Null>,<Null>,35,1,21,40,475,200,40,160,399,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000DX,603,2024
15,Point,000000EE,112/15,CREEK,SR 112,CREEK,Washington State,Washington State,UNINCORPORATED,Clallam County,OL,48.253132,-124.266075,N,5,<Null>,<Null>,1936,0,59,19,54,2,25,29.5,4,0.5,9999,0,2,7,0,0,TTC,3,5,5,0,A,1,3,1,112,16.5,<Null>,B,99,0,N,0,0,7,7,7,Good,9,3,1,24,8/23/2022,8/23/2024,35,1,59,30,475,420,84,336,841,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000EE,527,2024
16,Point,000000ER,271/3.35,BRANCH of McCOY CREEK,SR 271,BRANCH OF MCCOY CREEK,Washington State,Washington State,UNINCORPORATED,Whitman County,EA,47.162666,-117.270195,N,5,<Null>,<Null>,1900,0,15,12,<Null>,2,23.3,25.4,0,0,9999,0,2,3,0,0,CESB,1,1,5,0,A,1,3,1,271,2.36,<Null>,B,6,0,N,0,0,6,6,6,Fair,9,U,0,<Null>,<Null>,<Null>,35,1,15,28,475,100,20,80,200,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000ER,949,2024
17,Point,000000ES,395/616,DEER CR,US 395,EAST DEER CR,Washington State,Washington State,UNINCORPORATED,Ferry County,EA,48.848331,-118.200058,N,5,<Null>,<Null>,1900,1932,49,13,44,2,25.2,39.5,0,0,9999,0,2,4,1,1,CESB CS,2,1,5,2,A,1,2,1,395,258.98,<Null>,B,16,1,Y,0,2,7,6,6,Fair,9,3,2,24,8/22/2022,8/22/2024,35,1,49,27,475,314,63,251,628,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000ES,1001,2024
18,Point,000000ET,395/618,LITTLE BOULDER CR,US 395,LITTLE BOULDER CR,Washington State,Washington State,UNINCORPORATED,Ferry County,EA,48.911388,-118.205498,N,5,<Null>,<Null>,1900,1932,57,17,52,2,25.2,41.5,0,0,9999,0,2,4,1,1,CESB CS,2,1,5,2,A,1,2,1,395,263.73,<Null>,B,4,1,Y,0,2,7,6,6,Fair,9,3,0,24,8/22/2022,8/22/2024,35,1,57,27,475,366,73,292,731,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000ET,1002,2024
19,Point,000000FV,500/18,CANAL,SR 500,HJF CANAL,Washington State,Washington State,CAMAS,Clark County,SW,45.589779,-122.403053,N,5,<Null>,<Null>,1915,1937,25,23,<Null>,2,37,50,6,5,9999,0,4,1,0,0,CTB,1,5,5,0,A,1,3,1,500,18.92,<Null>,B,10,0,N,0,0,4,7,6,Poor,9,8,1,24,4/5/2022,4/5/2024,35,1,25,39,475,232,46,185,463,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000FV,27,2024
20,Point,000000GR,195/22,SPRING FLAT CREEK,US 195,SPRING FLAT CREEK,Washington State,Washington State,COLFAX,Whitman County,EA,46.874611,-117.364998,N,5,<Null>,<Null>,1920,0,37,37,32,4,56,80,13,11,9999,0,4,1,0,0,CTB,1,5,5,0,A,1,2,1,195,37.46,<Null>,B,8,1,Y,0,0,3,6,7,Poor,9,8,3,24,7/19/2022,7/19/2024,35,1,37,58,475,510,102,408,1019,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000GR,49,2024
21,Point,000000HA,706/8,COPPER CR,SR 706,COPPER CR,Washington State,Washington State,UNINCORPORATED,Pierce County,OL,46.755306,-121.961441,N,5,<Null>,<Null>,1922,0,26,22,22,2,25,27,0,0,9999,0,4,1,0,0,CTB,1,1,5,4,A,1,3,1,706,11.16,<Null>,B,27,1,Y,0,0,7,6,6,Fair,9,3,0,24,4/27/2023,4/27/2025,35,1,26,28,475,173,35,138,346,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000HA,1440,2024
22,Point,000000HM,  6/15.25,PINNOCK CREEK,SR 6,PINNOCK CREEK,Washington State,Washington State,UNINCORPORATED,Pacific County,SW,46.553696,-123.534225,N,5,<Null>,<Null>,1927,0,19,16,15.9,2,27,28.5,0,0,9999,0,1,1,0,0,CS,1,1,5,0,A,1,3,1,6,15.45,<Null>,B,99,1,Y,0,0,7,7,7,Good,9,3,2,<Null>,<Null>,<Null>,35,1,19,34,475,154,31,123,307,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000HM,1424,2024
23,Point,000000HN, 21/323,SAN POIL RIVER,SR 21,SAN POIL RIVER,Washington State,Washington State,UNINCORPORATED,Ferry County,EA,48.483334,-118.737663,N,5,<Null>,<Null>,1927,0,61,30,56,2,20,23.5,0,0,9999,0,4,1,0,0,CTB,2,1,5,0,A,1,3,1,21,148.45,<Null>,B,60,0,Y,0,1,7,7,6,Fair,9,7,0,24,8/22/2022,8/22/2024,35,1,61,28,475,406,81,324,811,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000HN,886,2024
24,Point,000000HV,507/8,SKOOKUMCHUCK RIVER,SR 507,SKOOKUMCHUCK RIVER,Washington State,Washington State,CENTRALIA,Lewis County,SW,46.730423,-122.95369,N,3,<Null>,<Null>,1928,0,186,149,99.9,2,20,22,5,5,1408,0,10,3,1,1,STrus CS,1,5,5,4,A,1,3,1,507,2.36,<Null>,B,4,0,N,0,0,6,4,5,Poor,9,5,5,24,6/12/2023,6/12/2025,35,1,186,34,475,1502,300,1202,3004,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000HV,131,2024
25,Point,000000HX,509/101,F B HOIT,SR 509,THAMES CREEK/PED TRAIL,Washington State,Washington State,UNINCORPORATED,King County,NW,47.31797,-122.414436,N,5,<Null>,<Null>,1929,1996,557,72,99.9,2,28,35,0,5.5,9999,0,3,3,0,0,SG,11,5,5,0,A,1,3,1,509,7.85,<Null>,B,6,0,Y,0,0,7,5,6,Fair,9,9,0,24,7/11/2022,7/11/2024,35,1,557,32,475,4233,847,3386,8466,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000HX,326,2024
26,Point,000000HY,509/103,JOES CREEK,SR 509,JOES CREEK,Washington State,Washington State,FEDERAL WAY,King County,NW,47.326668,-122.376968,N,5,<Null>,<Null>,1929,1996,264,72,99.9,2,28,36,0,5.8,9999,0,3,4,0,0,SG,5,5,5,6,A,1,3,1,509,9.93,<Null>,B,6,0,Y,0,0,7,6,6,Fair,9,9,1,24,7/11/2022,7/11/2024,35,1,264,34,475,2132,426,1706,4264,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000HY,1326,2024
27,Point,000000II,500/16,LACAMAS LAKE,SR 500,LACAMAS LAKE,Washington State,Washington State,CAMAS,Clark County,SW,45.604389,-122.407143,N,5,<Null>,<Null>,1930,0,79,30,74,2,24,32.6,7,0,9999,0,4,2,0,0,CTB,3,5,5,0,A,1,3,1,500,17.77,<Null>,B,10,0,N,0,0,4,6,6,Poor,9,3,2,24,10/27/2021,10/27/2023,35,1,79,26,400,411,82,329,822,2014,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000II,26,2024
28,Point,000000IR,169/8,GREEN RIVER-DAN EVANS BR,SR 169,GREEN R,Washington State,Washington State,UNINCORPORATED,King County,NW,47.276371,-121.991776,N,3,<Null>,<Null>,1932,0,688,147,99.9,2,24,28,3.3,0,9999,0,9,3,4,1,STrus,4,5,5,0,A,1,3,1,169,5.2,<Null>,B,11,1,Y,0,0,6,5,6,Fair,9,5,0,24,5/8/2023,5/8/2025,35,1,688,40,475,6536,1307,5229,13072,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000IR,726,2024
29,Point,000000IU,503/26,LEWIS RIVER  YALE,SR 503,LEWIS RIVER,Washington State,Washington State,UNINCORPORATED,Clark County,SW,45.960312,-122.372467,N,1,<Null>,<Null>,1932,1957,458,300,99.9,1,16.7,20,0,0,1407,0,13,3,2,3,SSusS SB,1,1,5,1,P,1,3,1,503,27.83,<Null>,B,68,1,Y,0,2,6,5,6,Fair,9,8,3,24,3/20/2023,3/20/2025,35,1,458,23,475,2502,500,2002,5004,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000IU,1755,2024
30,Point,000000JJ,155/101,COLUMBIA R GRAND COULEE,SR 155,COLUMBIA RIVER,Washington State,Washington State,COULEE DAM,Douglas County,NC,47.965393,-118.982323,N,1,<Null>,<Null>,1935,0,1089,550,99.9,2,20.2,22,3.8,3.8,1408,0,10,4,4,2,STrus CTB,3,5,5,2,A,1,3,1,155,28.26,<Null>,B,1,1,Y,0,0,7,6,7,Fair,9,8,7,24,10/11/2021,10/11/2023,35,1,1089,42,475,10863,2173,8690,21726,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000JJ,658,2024
31,Point,000000JQ,302/105,PURDY BRIDGE,SR 302,HENDERSON BAY,Washington State,Washington State,UNINCORPORATED,Pierce County,OL,47.38364,-122.62928,N,1,<Null>,<Null>,1936,1966,550,190,99.9,2,20,22,0,3.5,9999,0,5,2,0,0,CBOX,5,5,5,2,A,1,3,1,302,15.69,<Null>,B,38,1,Y,0,0,6,6,4,Poor,9,5,3,24,6/26/2022,6/26/2024,35,1,550,28,475,3658,732,2926,7315,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000JQ,123,2024
32,Point,000000JV,508/25,CREEK,SR 508,CREEK,Washington State,Washington State,UNINCORPORATED,Lewis County,SW,46.591793,-122.429443,N,5,<Null>,<Null>,1937,0,26,24,<Null>,2,19.7,20.5,0,0,9999,0,2,7,0,0,TTC,1,1,5,0,A,1,3,1,508,24.08,<Null>,B,35,0,N,0,0,6,6,5,Fair,9,3,0,24,10/12/2021,10/12/2023,35,1,26,22,400,114,23,92,229,2014,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000JV,425,2024
33,Point,000000JY,  7/9.25,COAL CREEK,SR 7,COAL CANYON CR,Washington State,Washington State,UNINCORPORATED,Lewis County,SW,46.580704,-122.24958,N,5,<Null>,<Null>,1938,0,20,16,16.1,2,24,27,0,0,9999,0,1,1,0,0,CS,1,1,5,0,A,1,3,1,7,2.64,<Null>,B,99,1,Y,0,0,4,7,7,Poor,9,U,0,<Null>,<Null>,<Null>,35,1,20,34,475,162,32,129,323,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000JY,32,2024
34,Point,000000KH,410/225,MILK CREEK,SR 410,MILK CREEK,Washington State,Washington State,UNINCORPORATED,Yakima County,SC,46.982647,-121.093719,N,5,<Null>,<Null>,1939,0,38,16,33,2,29.3,32.5,0,0,9999,0,1,7,0,0,TS,3,1,5,2,A,1,3,1,410,92.76,<Null>,B,99,0,Y,0,2,6,6,6,Fair,9,3,0,24,9/30/2021,9/30/2023,35,1,38,31,475,280,56,224,560,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000KH,1063,2024
35,Point,000000KN, 90/25S,LACEY V. MURROW BRIDGE,I-90,LAKE WASHINGTON,Washington State,Washington State,SEATTLE,King County,NW,47.59,-122.283333,R,2,<Null>,<Null>,1940,1992,6561,6561,99.9,4,56,60,0,0,9999,0,0,1,0,0,CFP SA CBox,1,1,5,6,A,1,1,1,90,4.28,<Null>,I,1,1,Y,1,0,5,7,4,Poor,9,8,0,24,5/6/2023,5/6/2025,35,1,6561,54,475,84145,16829,67316,168290,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000KN,208,2024
36,Point,000000KO, 90/24.5S,LVM WEST APPROACH,EB I-90,LAKE WASHINGTON,Washington State,Washington State,SEATTLE,King County,NW,47.589973,-122.287308,R,1,<Null>,<Null>,1940,1992,1064,215,99.9,4,52,55,0,0,2100,4200,12,3,20,0,Cbox Struss STA SG,1,1,6,6,A,1,1,1,90,4.28,<Null>,I,1,1,Y,1,0,7,5,7,Fair,9,5,0,24,5/6/2023,5/6/2025,35,1,1064,69,475,17436,3487,13949,34873,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000KO,346,2024
37,Point,000000KP, 90/25.5S,LVM EAST APPROACH,EB I-90,LAKE WASHINGTON,Washington State,Washington State,UNINCORPORATED,King County,NW,47.589256,-122.255775,R,1,<Null>,<Null>,1940,1992,890,227,99.9,4,52,55,0,0,2003,2011,12,3,20,0,SG STA PTCBox,1,1,6,6,A,1,1,1,90,4.28,<Null>,I,1,1,Y,1,0,7,7,7,Good,9,5,0,24,5/6/2023,5/6/2025,35,1,890,54,475,11414,2283,9131,22828,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000KP,1533,2024
38,Point,000000LM, 12/12S,HERON STREET BRIDGE,US 12 / HERON ST,WISHKAH RIVER,Washington State,Washington State,ABERDEEN,Grays Harbor County,OL,46.975971,-123.812057,R,2,<Null>,<Null>,1949,0,235,93,99.9,2,28,29.5,5,0,9999,0,17,4,3,3,SSwS SG,2,5,5,4,A,1,2,1,12,0.08,<Null>,I,1,1,Y,2,0,3,5,3,Poor,9,4,0,24,3/27/2023,3/27/2025,35,1,235,30,475,1674,335,1340,3349,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000LM,41,2024
39,Point,000000LN, 28/110,WINCHESTER WASTEWAY,SR 28,WINCHESTER WASTEWAY,Washington State,Washington State,UNINCORPORATED,Grant County,NC,47.249329,-119.684937,N,5,<Null>,<Null>,1949,0,34,33,<Null>,2,36,40,0,0,9999,0,4,1,0,0,CTB,1,1,5,5,A,1,3,1,28,38.11,<Null>,B,7,1,Y,0,0,7,7,7,Good,9,8,3,24,1/31/2022,2/1/2024,35,1,34,40,475,323,65,258,646,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000LN,954,2024
40,Point,000000LR, 17/401,COLUMBIA R  BRIDGEPORT,SR 17,COLUMBIA RIVER,Washington State,Washington State,BRIDGEPORT,Douglas County,NC,47.999733,-119.655861,N,1,<Null>,<Null>,1950,0,1150,300,99.9,2,26,33.5,2.4,2.4,9999,0,9,4,2,4,STrus SRB,3,5,5,5,A,1,3,1,17,135.92,<Null>,B,35,1,Y,0,1,6,6,6,Fair,9,8,3,24,8/1/2023,8/1/2025,35,1,1150,42,475,11471,2294,9177,22942,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000LR,737,2024
41,Point,000000LZ,281/10,WEST CANAL,SR 281,WEST CANAL,Washington State,Washington State,QUINCY,Grant County,NC,47.225182,-119.853378,N,5,<Null>,<Null>,1950,1988,108,39,99.9,2,40,43,0,0,9999,0,4,2,0,0,CTB,3,1,5,5,A,1,3,1,281,9.98,<Null>,B,4,1,Y,0,0,7,7,7,Good,9,7,1,24,2/9/2023,2/9/2025,35,1,108,42,475,1072,214,858,2145,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000LZ,963,2024
42,Point,000000MB,101/27,SOUTH NEMAH R NO 2,US 101,SOUTH NEMAH RIVER,Washington State,Washington State,UNINCORPORATED,Pacific County,SW,46.449776,-123.872475,N,5,<Null>,<Null>,1951,0,40,19,35,2,36,36,0,0,9999,0,2,7,0,0,TTC,2,1,5,3,A,1,2,1,101,30.62,<Null>,B,99,1,Y,2,0,8,8,6,Fair,9,U,2,24,8/18/2022,8/18/2024,35,1,40,38,475,361,72,289,722,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000MB,477,2024
