OBJECTID_1 *,Shape *,StateStructureId,BridgeNumber,BridgeName,FacilitiesCarried,FeaturesIntersected,Owner,Custodian,CityName,CountyName,RegionName,Latitude,Longitude,ParallelStructure,HistoricSignificanceNRHP,HistoricalSignificanceHAER,HistoricSignificanceLocal,YearBuilt,YearRebuilt,StructureLengthByFeet,MaximumSpanLengthFeet,ScreeningLengthBy10th,LanesOn,CurbToCurbWidthFeetAnd10th,OutToOutWidthFeetAnd10th,SidewalkCurbWidthLeftBy10th,SidewalkCurbWidthRightBy10th,MinVertClrncOverDeck,MinVertClrncUnderBridge,MainSpanDesign,MainSpanMaterial,ApproachSpanDesign,ApproachSpanMaterial,SpanType,NumberOfSpans,ServiceOn,ServiceUnder,DesignLoadCode,OpenClosedPosted,OnUnderCode,FederalHighwayClass,ServiceLevel,RouteIdentifier,StateRouteMilepost,AheadBackIndicator,InventoryDirection,Detour,BaseHighwayNetwork,NationalTruckNetwork,STRAHNET,FederalLandsHighway,DeckCondition,SuperstructureCondition,SubstructureCondition,BridgeOverallConditionState,CulvertCondition,ScourCondition,NumberOfUtilites,InspectionFrequency,InspectionDate,InspectionDueDate,PrpsedImprvTypeOfWork,PrpsedImprvWorkMethod,PrpsedImprvStructureLgthByFT,PrpsedImprvRoadwayWdthByFT,PrpsedImprvCostPerSFDeck,PrpsedImprvStructureCost,PrpsedImprvRoadwayCost,PrpsedImprvEngMiscCost,PrpsedImprvTotalCost,PrpsedImprvEstimateYear,TunnelPortalShape,TunnelShape,TunnelLengthByFeet,TunnelGroundConditions,TunnelNumberOfBores,TunnelServiceLevel,TunnelOtherRestriction,TunnelHazardousMatRest,TunnelHeightRestrictionFlag,TunnelMinVertClrncOverRdBy10,TunnelComplexCode,updated_date,Structure ID,ObjectID,Min Need Year
929,Point,0008382B,405/70W,I-405 OVER SR 522/SAMMAMISH R,I-405,SR 522     SAMMAMISH R,Washington State,Washington State,BOTHELL,King County,NW,47.755638,-122.185638,L,5,<Null>,<Null>,1968,1997,1410,122,99.9,3,40,43,0,0.7,9999,1511,5,2,0,0,CBOX,13,1,6,6,A,1,1,1,405,23.53,<Null>,D,1,1,Y,1,0,6,6,7,Fair,9,5,0,24,11/16/2022,11/16/2024,35,1,1410,42,475,14065,2813,11252,28130,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008382B,1056,2024
930,Point,0008382C,405/70N-E,N-E RAMP   SAMMAMISH R,I-405 N-E RAMP,SAMMAMISH RIVER,Washington State,Washington State,BOTHELL,King County,NW,47.756054,-122.18486,N,5,<Null>,<Null>,1968,0,709,109,99.9,1,23,26.5,0.7,0.7,9999,1810,5,2,0,0,CBOX,7,1,6,5,A,1,1,7,405P102253,1.01,<Null>,I,1,0,Y,0,0,7,6,7,Fair,9,5,0,24,11/16/2022,11/16/2024,35,1,709,31,475,5220,1044,4176,10440,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008382C,1053,2024
931,Point,0008382D,405/70N-W,N-W RAMP  SAMMAMISH R,I-405 N-W RAMP,"SAMMAMISH R, I-405, SR 5",Washington State,Washington State,BOTHELL,King County,NW,47.755974,-122.185028,N,5,<Null>,<Null>,1968,0,1469,109,99.9,1,24,27.5,0.7,0.7,9999,1605,5,2,0,0,CBOX,15,6,6,5,A,1,1,7,405P202253,0.08,<Null>,I,1,0,Y,0,0,7,6,7,Fair,9,5,0,24,11/16/2022,11/16/2024,35,1,1469,28,475,9769,1954,7815,19538,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008382D,1054,2024
932,Point,0008382E,405/70S-E,S-E RAMP BR,I-405,TERRAIN,Washington State,Washington State,BOTHELL,King County,NW,47.757454,-122.184807,N,4,<Null>,<Null>,1968,0,433,115,99.9,1,25,28.5,0.7,0.7,9999,0,5,2,0,0,CBox,3,1,0,6,A,1,1,7,405R502374,0.06,<Null>,I,1,0,Y,0,0,7,7,7,Good,9,N,0,24,11/16/2022,11/16/2024,35,1,433,28,475,2880,576,2304,5759,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008382E,1055,2024
933,Point,0008382F,522/30E-S,E-S RAMP OVER SAMMAMISH RIVER,SR 522 RAMP,SAMMAMISH RIVER,Washington State,Washington State,BOTHELL,King County,NW,47.756973,-122.186218,N,5,<Null>,<Null>,1968,0,303,103,99.9,1,35,39,0.7,0.7,9999,0,5,2,0,0,CBOX,4,1,5,6,A,1,3,7,405S102347,0.13,<Null>,I,1,0,Y,0,0,6,6,7,Fair,9,5,1,24,9/21/2022,9/21/2024,35,1,303,44,475,3166,633,2533,6333,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008382F,1374,2024
934,Point,0008382H,522/30W-S,W-S RAMP  SAMMAMISH RIV,SR 522,SAMMAMISH RIVER,Washington State,Washington State,BOTHELL,King County,NW,47.759109,-122.180084,N,5,5,<Null>,1968,0,2335,120,99.9,2,33,36.3,0.8,0.8,9999,1604,5,2,0,0,CBOX,22,1,6,6,A,1,3,7,405S202347,0.38,<Null>,I,1,0,Y,0,0,6,7,7,Fair,9,8,0,24,10/9/2022,10/9/2024,35,1,2335,42,475,23292,4658,18633,46583,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008382H,1375,2024
935,Point,0008385A, 82/1N,I-82 OVER I-90,I-82,I-90,Washington State,Washington State,UNINCORPORATED,Kittitas County,SC,46.970776,-120.510887,L,5,<Null>,<Null>,1968,0,309,102,99.9,2,38,41.4,0.8,0.8,9999,1606,5,2,0,0,CBox,4,1,1,6,A,1,1,1,82,0,<Null>,D,1,1,Y,1,0,4,6,7,Poor,9,N,0,24,7/10/2023,7/10/2025,35,1,309,40,475,2936,587,2348,5871,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008385A,177,2024
936,Point,0008385B, 82/1S,I-82 OVER I-90,I-82,"E-E RAMP, I-90",Washington State,Washington State,UNINCORPORATED,Kittitas County,SC,46.970749,-120.511024,R,5,<Null>,<Null>,1968,0,309,102,99.9,1,26,29.4,0.7,0.7,9999,1605,5,2,0,0,CBox,4,1,1,6,A,1,1,1,82,0,<Null>,I,1,1,Y,1,0,3,7,7,Poor,9,N,0,24,7/10/2023,7/10/2025,35,1,309,28,475,2055,411,1644,4110,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008385B,178,2024
937,Point,0008386B, 90/172,PRATER RD OVER I-90,PRATER RD,I-90,Washington State,Washington State,UNINCORPORATED,Kittitas County,SC,46.972153,-120.363708,N,5,<Null>,<Null>,1968,0,230,113,99.9,2,27.5,30.7,0.7,0.7,9999,1605,2,6,0,0,PCG,2,1,1,6,A,1,4,1,460000810,0.1,<Null>,B,5,0,N,0,0,8,7,7,Good,9,N,0,24,7/10/2023,7/10/2025,35,1,230,30,475,1639,328,1311,3278,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008386B,1515,2024
938,Point,0008390A,261/125,SNAKE RIVER   LYONS FERRY,SR 261,SNAKE RIVER,Washington State,Washington State,UNINCORPORATED,Columbia County,SC,46.589767,-118.219406,N,1,<Null>,<Null>,1927,1968,2040,520,99.9,2,20,22,0.2,0.2,1500,4710,10,4,20,0,STrus PCBTG,3,1,6,4,A,1,3,1,261,14.8,<Null>,B,99,0,N,0,0,6,6,6,Fair,9,5,0,24,10/3/2022,10/3/2024,35,1,2040,30,475,14535,2907,11628,29070,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008390A,932,2024
939,Point,0008402A,410/39N,SR 410 OVER 166TH AVE E,SR 410,166TH AVE,Washington State,Washington State,SUMNER,Pierce County,OL,47.198223,-122.208473,L,5,<Null>,<Null>,1968,0,147,61,99.9,2,38,41.4,0.7,0.7,9999,1506,2,5,0,0,PCG,3,1,1,6,A,1,3,1,410,11.46,<Null>,D,1,1,Y,0,0,7,6,7,Fair,9,N,0,24,4/11/2023,4/11/2025,35,1,147,42,475,1466,293,1173,2933,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008402A,1067,2024
940,Point,0008416A, 12/288,SLIDE BRIDGE,US 12,SLIDE AREA,Washington State,Washington State,UNINCORPORATED,Lewis County,SC,46.671551,-121.502602,N,5,<Null>,<Null>,1968,0,118,114,99.9,2,38,41,0.5,0.5,9999,0,2,5,0,0,PCG,1,1,0,6,A,1,2,1,12,143.61,<Null>,B,99,1,Y,0,2,7,6,6,Fair,9,N,1,24,10/11/2021,10/11/2023,35,1,118,40,400,944,189,755,1888,2014,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008416A,572,2024
941,Point,0008417C,405/108E,I-405 OVER DAMSON RD,I-405,DAMSON RD,Washington State,Washington State,UNINCORPORATED,Snohomish County,NW,47.820084,-122.242058,R,5,<Null>,<Null>,1968,2001,212,71,99.9,4,55.5,58.5,0,0.8,9999,2103,2,6,0,0,PCG,3,1,1,6,A,1,1,1,405,29,<Null>,I,1,1,Y,1,0,7,7,7,Good,9,N,2,24,8/26/2021,8/26/2023,35,1,212,58,475,2920,584,2336,5841,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008417C,1018,2024
942,Point,0008422B,182/21N,I-182 OVER N 20TH AVE,I-182,N 20TH AVE,Washington State,Washington State,PASCO,Franklin County,SC,46.248806,-119.117363,L,5,<Null>,<Null>,1968,0,161,77,99.9,2,38,41.4,0.8,0.8,9999,1501,2,6,0,0,PCG,3,1,1,6,A,1,1,1,182,12.68,<Null>,D,1,1,Y,1,0,7,6,7,Fair,9,N,0,24,3/29/2023,3/29/2025,35,1,161,40,475,1530,306,1224,3059,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008422B,764,2024
943,Point,0008425A, 27/39,NORTH HANGMAN CR,SR 27,LITTLE HANGMAN CREEK,Washington State,Washington State,TEKOA,Whitman County,EA,47.226254,-117.073021,N,5,<Null>,<Null>,1968,0,108,28,99.9,2,26.7,35.5,5.3,0.7,9999,0,1,2,0,0,CS,4,5,5,6,A,1,3,1,27,48.47,<Null>,B,5,0,N,0,0,6,6,7,Fair,9,5,2,24,5/2/2023,5/2/2025,35,1,108,29,475,744,149,595,1488,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008425A,947,2024
