county,year,population,source,rate
Grays Harbor,1963,55600,Intercensal Estimate,0.0036101083032491488
Island,1963,21100,Intercensal Estimate,0.009569377990430672
Jefferson,1963,9800,Intercensal Estimate,0.010309278350515427
King,1963,984400,Intercensal Estimate,0.013174145738987342
Kitsap,1963,87400,Intercensal Estimate,0.008073817762399127
Kittitas,1963,21700,Intercensal Estimate,0.02358490566037741
Klickitat,1963,13100,Intercensal Estimate,-0.015037593984962405
Lewis,1963,42500,Intercensal Estimate,0.0
Lincoln,1963,10400,Intercensal Estimate,-0.018867924528301883
Mason,1963,17200,Intercensal Estimate,0.005847953216374213
Okanogan,1963,25000,Intercensal Estimate,-0.015748031496062964
Pacific,1963,14900,Intercensal Estimate,0.013605442176870763
Pend Oreille,1963,6500,Intercensal Estimate,-0.044117647058823484
Pierce,1963,342700,Intercensal Estimate,0.01600948710346861
San Juan,1963,3000,Intercensal Estimate,0.034482758620689724
Skagit,1963,51100,Intercensal Estimate,-0.009689922480620172
Skamania,1963,5400,Intercensal Estimate,0.018867924528301883
Snohomish,1963,195300,Intercensal Estimate,0.03662420382165599
Spokane,1963,278500,Intercensal Estimate,-0.00464617583988558
Stevens,1963,17500,Intercensal Estimate,-0.02777777777777779
Thurston,1963,60300,Intercensal Estimate,0.02203389830508473
Wahkiakum,1963,3300,Intercensal Estimate,-0.05714285714285716
Walla Walla,1963,41600,Intercensal Estimate,-0.014218009478673022
Whatcom,1963,72800,Intercensal Estimate,0.004137931034482678
Whitman,1963,33000,Intercensal Estimate,0.0185185185185186
Yakima,1963,143800,Intercensal Estimate,-0.008275862068965467
Adams,1964,10200,Intercensal Estimate,0.00990099009900991
Asotin,1964,12900,Intercensal Estimate,-0.01526717557251911
Benton,1964,62300,Intercensal Estimate,-0.0016025641025640969
Chelan,1964,40000,Intercensal Estimate,-0.0024937655860348684
Clallam,1964,31300,Intercensal Estimate,0.012944983818770295
Clark,1964,105000,Intercensal Estimate,0.027397260273972712
Columbia,1964,4500,Intercensal Estimate,0.0
Cowlitz,1964,61400,Intercensal Estimate,0.013201320132013139
Douglas,1964,15300,Intercensal Estimate,0.006578947368421018
Ferry,1964,3900,Intercensal Estimate,0.0
Franklin,1964,24100,Intercensal Estimate,0.012605042016806678
Garfield,1964,2700,Intercensal Estimate,0.0
Grant,1964,43900,Intercensal Estimate,-0.015695067264574036
Grays Harbor,1964,55900,Intercensal Estimate,0.0053956834532373765
Island,1964,21700,Intercensal Estimate,0.028436018957346043
Jefferson,1964,9900,Intercensal Estimate,0.010204081632652962
King,1964,1000200,Intercensal Estimate,0.01605038602194231
Kitsap,1964,88100,Intercensal Estimate,0.008009153318077722
Kittitas,1964,22000,Intercensal Estimate,0.01382488479262678
Klickitat,1964,12900,Intercensal Estimate,-0.01526717557251911
Lewis,1964,42400,Intercensal Estimate,-0.0023529411764705577
Lincoln,1964,10200,Intercensal Estimate,-0.019230769230769273
Mason,1964,17400,Intercensal Estimate,0.011627906976744207
Okanogan,1964,25000,Intercensal Estimate,0.0
Pacific,1964,14700,Intercensal Estimate,-0.01342281879194629
Pend Oreille,1964,6300,Intercensal Estimate,-0.03076923076923077
Pierce,1964,349200,Intercensal Estimate,0.018967026553837085
San Juan,1964,3000,Intercensal Estimate,0.0
Skagit,1964,50800,Intercensal Estimate,-0.005870841487279899
Skamania,1964,5400,Intercensal Estimate,0.0
Snohomish,1964,203000,Intercensal Estimate,0.03942652329749108
Spokane,1964,277900,Intercensal Estimate,-0.002154398563734339
Stevens,1964,17400,Intercensal Estimate,-0.005714285714285672
Thurston,1964,62000,Intercensal Estimate,0.028192371475953548
Wahkiakum,1964,3300,Intercensal Estimate,0.0
Walla Walla,1964,41500,Intercensal Estimate,-0.0024038461538461453
Whatcom,1964,73700,Intercensal Estimate,0.012362637362637319
Whitman,1964,33400,Intercensal Estimate,0.0121212121212122
Yakima,1964,143200,Intercensal Estimate,-0.004172461752433909
Adams,1965,10400,Intercensal Estimate,0.019607843137254832
Asotin,1965,12900,Intercensal Estimate,0.0
Benton,1965,62500,Intercensal Estimate,0.0032102728731941976
Chelan,1965,39800,Intercensal Estimate,-0.0050000000000000044
Clallam,1965,31900,Intercensal Estimate,0.019169329073482455
Clark,1965,108500,Intercensal Estimate,0.03333333333333344
Columbia,1965,4300,Intercensal Estimate,-0.0444444444444444
Cowlitz,1965,62500,Intercensal Estimate,0.01791530944625408
Douglas,1965,15300,Intercensal Estimate,0.0
